(Do Not Modify) DOI Occupancy Buildings List,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Building Name,Address,State,Assigned Employees (Old),Owner,RPUID CO Number,RTO Non-Ready,RTO Seats,RTO Workstations for Other Bureaus,RTO Open Workstation,Bureau Name,Pending Requests Count,Assigned Employees Count,Modified,Modified By,Assigned Seats Count,ID,Latitude,Longitude
90ad6042-bf22-f011-9989-001dd80292e8,C+cTckmlpHicblA/Z70uICTKAhIWl5JARaYNP9jvQSZpPpTK/xp7plPtTQujVlWjCUJKcYxI/lSr4g77gjwirw==,6/16/2025 20:34,FISH AND WILDLIFE,6578 DOGW00D VIEW PKWY,Mississippi,1,FWS,RPUIDMS2058.C1000000000635,0,0,3,3,Fish and Wildlife Service,0,0,,Bonnie Newberry,0,13914,+32.4000000,-090.1925000
91ad6042-bf22-f011-9989-001dd80292e8,+WbapDFYKNiOAgB41KgPVIh/rlQgIw/Tm6F8TiTWG+Hz36DnKJ5P+Z7JW+gjgpuqfAu5oyzb0EtgX3dDGQ8kIQ==,6/14/2025 21:43,585 SHEPARD WAY,585 SHEPARD WAY,Montana,0,FWS,RPUIDMT5568.C1000000001756,0,4,0,0,Fish and Wildlife Service,4,0,,Claire Spalding,3,13915,+46.6000000,-112.0400000
93ad6042-bf22-f011-9989-001dd80292e8,xPM1AMEt903VUnIevsZTNjMbxscxorQxaS0EkewIyFb3aFdvpwbXjhxJY6MGfNGSrUz4Iu1BSRVoG8Zw69AZyg==,7/16/2025 15:30,HORSESHOE POND CORPORATE CTR,2 HORSESHOE POND,New Hampshire,3,FWS,RPUIDNH6139.C1000000001539,3,0,3,0,Fish and Wildlife Service,1,3,,Ethan Rutledge,0,13916,+43.2171000,-071.5423000
94ad6042-bf22-f011-9989-001dd80292e8,LBY7JZtZHNL5uun9Ed5I7nVhT1GoH2+F4z6WIaTCe2PTst8NMEKepiyRpx/8BMMKo9ko+dO7lBg8FH83ycCEYw==,7/15/2025 16:51,FISH & WILDLIFE,3800 COMMONS NE,New Mexico,0,FWS,RPUIDNM1535.C1000000001661,0,0,0,0,Fish and Wildlife Service,2,0,,Ethan Rutledge,0,13923,+35.1438000,-106.6036000
95ad6042-bf22-f011-9989-001dd80292e8,Hc3UBTg970CO/6IB6zXjI8S5ILBRK0nXBfFY6J55cuLmtzF2Km2I3r11pVI9xj/2GVpK5BqlKoa8yKm0xxtcUQ==,6/14/2025 3:35,GSA 1400/1002007/20000004 VINELAND NJ WEST SHERMAN,1051 WEST SHERMAN,New Jersey,0,FWS,RPUIDF1000200720000004.C1000000001593,0,0,0,0,Fish and Wildlife Service,1,0,,Ethan Rutledge,0,13919,+39.4461160,-075.0485680
97ad6042-bf22-f011-9989-001dd80292e8,qe2+V8ITVISxyXqTyhOsWl0ufrlX4+m9V/HoIQ4QjcgPALh1bmBFENbTWVhW4V4rboizOfPi9Uz6VQLHKWCQFQ==,6/13/2025 18:41,GSA 0A ASD02345 ABERDEEN SD,115 4TH AVE SE,South Dakota,0,FWS,RPUIDF1000201920000008.C1000000001811,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13934,+45.4614400,-098.4859800
99ad6042-bf22-f011-9989-001dd80292e8,SzUVEeqW666fxZsLcIR4JV0BtQzbr+rEdbP9VoexrQCuSsHxcr2o4t0k3EyzxYPJolLIvBkWtghLDtzxIs9voQ==,6/14/2025 2:45,2329 & 2369 WEST ORTON CIRCLE,2329 2369 WEST ORTON,Utah,2,FWS,RPUIDUT1409.C1000000001370,1,4,4,3,Fish and Wildlife Service,0,1,,Ethan Rutledge,0,13940,+40.7193000,-111.9509000
9ead6042-bf22-f011-9989-001dd80292e8,eemJubgbf7Rl4hn49TjUfqPHUF1w2uPlW7cMwPEwywkixomeFM9Y5yS+/FJn/bVsmaogsf0M4lM+5E6XyiaSdw==,7/16/2025 8:05,SEATAC NORTH TOWER,17930 INTERNATIONAL BLVD,Washington,0,FWS,RPUIDF1000202920000012.C1000000001557,0,0,0,0,Fish and Wildlife Service,1,0,,Ethan Rutledge,0,13975,+47.4419370,-122.2953760
9fad6042-bf22-f011-9989-001dd80292e8,FkhDT5CQpyfBPaw9VChUlnvbKmrIVYzV/ZajZt/iFiEldgCzUo0/e+lkA+HZ4X+g2KmN/iFKYYw/U4doo9onSg==,6/14/2025 1:38,CHEYENNE ES PARSLEY BUILDING,334 PARSLEY BLVD,Wyoming,0,FWS,RPUIDF1000203320000008.C1000000001683,3,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13979,+41.1200100,-104.8298000
a0ad6042-bf22-f011-9989-001dd80292e8,QBDj9lEseDOMOqYzVmmpu2VVGK0qVYtubRdt6AhkBRWnLmZHDGybgbmRbKRfx1UvtPR4+MxQzGDpKEiPiDMCZQ==,6/14/2025 5:32,GLENN OLDS HALL,4210 UNIVERSITY DRIVE,Alaska,0,USGS,RPUIDAK3466ZZ.C1000000000005,8,5,15,15,U.S. Geological Survey,0,0,,Ethan Rutledge,0,13978,+61.1886260,-149.8042610
a1ad6042-bf22-f011-9989-001dd80292e8,MOPLK/zR+gXd4Mt63jM/B/EIX4iM9i1ZWX+YSA7KEaUzxevZc9Se3c8ABxHSEDgDKPuDRDvllWa2qUQmeJNpww==,6/14/2025 1:20,FED BLDG U S POST OF,# W 904 RIVERSIDE,Washington,0,USGS,RPUIDWA0045ZZ.C1000000000192,0,0,0,0,U.S. Geological Survey,1,0,,Ethan Rutledge,0,13986,+47.6584820,-117.4254150
a3ad6042-bf22-f011-9989-001dd80292e8,krL+dQmil6M9VK8uADNerSxWZkMohWCEb9WVXfXP5dylf97V2GiKq/PcK+6BgdKnKzjncbP9lVmY4qSucwJnwQ==,6/13/2025 20:22,DFC BLDG 810,# W 6TH AVE   KIPLING ST,Colorado,0,USGS,RPUIDCO0624AA.C1000000000064,0,15,10,10,U.S. Geological Survey,0,0,,Ethan Rutledge,0,13997,+39.7131040,-105.1245490
a4ad6042-bf22-f011-9989-001dd80292e8,Tq25gSEWv6YbVAPzuc0D5FKS4Jf1UOB7/ozRXD52YBf/9Rj/67GXqMnGygvCkzitGJD/m8I2aCnvpSduI3uIrg==,6/14/2025 6:32,DFC BLDG 15,# W 6TH AVE   KIPLING ST,Colorado,0,USGS,RPUIDCO0625AA.C1000000000052,0,0,0,0,U.S. Geological Survey,1,0,,Ethan Rutledge,0,13999,+39.7216540,-105.1141640
a5ad6042-bf22-f011-9989-001dd80292e8,+3XbqU8KolN8PckxDeP/GcSPhwmEiJzfiY+blQjqZT/Z9xIn+L8x3pZws6QhDpbLbI9brpawAr8HbyZDXiRvfA==,6/14/2025 5:41,USGS BUILDING,9818 BLUEGRASS PARKWAY,Kentucky,2,USGS,RPUIDKY2058ZZ.C1000000001616,0,5,8,6,U.S. Geological Survey,5,2,,Ethan Rutledge,0,14004,+38.2221430,-085.5721360
a6ad6042-bf22-f011-9989-001dd80292e8,5sxlG1iKB0FXDHPo3y4C2/1cAIuRl+SbEXhBYxRgd8qxBy7gCVaLGlOg23B6di+AQUQiYuwT3MdbMF8AaVWvcg==,6/14/2025 1:20,DFC BLDG 41 LIBRARY,# W 6TH AVE   KIPLING ST,Colorado,0,USGS,RPUIDG1000020220000014.C1000000001396,0,0,0,0,U.S. Geological Survey,1,0,,Ethan Rutledge,0,14006,+39.7211710,-105.1183720
aaad6042-bf22-f011-9989-001dd80292e8,R5nb+4b5xz48ZE8MxAj0+w503T6enes/cUOsgYHfuZg3wxQWhr5WsmgESJ700sAqzdtXXtZgVQfs6oqx4EP0kQ==,7/16/2025 4:35,USGS BUILDING,4890 NORTH RUNWAY DRIVE,Oregon,0,USGS,RPUIDOR0521MM.C1000000000161,0,0,0,0,U.S. Geological Survey,1,0,,Ethan Rutledge,0,14016,+42.3889810,-122.8754390
abad6042-bf22-f011-9989-001dd80292e8,QGrsolLoVbKVUhLwPPCBhgOmmMyArur6Lq6qHBWPlBzlvlMIesr1n7t2RWHPJR4OLxY6HKGkuwqYyXWPGflxKA==,6/14/2025 3:04,UNIVERSITY HEIGHTS BUSINESS PK,5563 DEZAVALA ROAD,Texas,0,USGS,RPUIDTX2398ZZ.C1000000001382,5,0,0,0,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14018,+29.5639030,-098.5978580
acad6042-bf22-f011-9989-001dd80292e8,Lth+UvcQgyIuJJQ7aU5kZjpJHZHZ5PsGnuFCjFRkiLoPwyViAfc0MzSNVC20oTyEIZPlcJa/a3kG7E+ED1cT8w==,6/13/2025 23:15,USGS BLDG 11,345 MIDDLEFIELD ROAD,California,0,USGS,RPUIDCA0909OO.C1000000000022,0,0,0,0,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14034,+37.4555720,-122.1724580
adad6042-bf22-f011-9989-001dd80292e8,6N5py9Bw1Ecd2fXf2dxjMYhN9u7X0ObTRoq0hKzgdoKRG7MV4AhJaOOKydT93XGcfcIeg2gdiJVNarcXBEObJw==,6/17/2025 20:40,AFTON VILLA OFC CNDO,3535 S SHERWOOD FOREST,Louisiana,5,USGS,RPUIDLA1301ZZ.C1000000001924,18,22,8,3,U.S. Geological Survey,0,5,,Kisha Flagg,0,14029,+30.4208100,-091.0506670
aead6042-bf22-f011-9989-001dd80292e8,Hw4EdG/ebLsZR0M4wEMYTfYs675ui67PHdTUoeMfUwEMwZuou3kvVPCAGw86JAi4tNfnWQgMPquwiWfhsYh0vg==,6/14/2025 2:32,FEDERAL BG USPO CTHS,300 E 3RD ST,Nebraska,0,USGS,RPUIDNE0056ZZ.C1000000000138,0,0,0,0,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14036,+41.1352030,-100.7610350
afad6042-bf22-f011-9989-001dd80292e8,dM4dLhNHLmwdQddGSSamA+gV6SlirV9u+5hTeFXUxSJmvKQp8uIpMN0urt962ShHc79LBfaBlDP8j+IgkbEK/w==,6/14/2025 1:10,CANYONLANDS RESEARCH STATION,2290 S WEST RESOURCE BLVD,Utah,0,USGS,RPUIDUT1380ZZ.C1000000001478,5,10,0,0,U.S. Geological Survey,1,0,,Ethan Rutledge,0,14040,+38.5373560,-109.5104390
b1ad6042-bf22-f011-9989-001dd80292e8,F5gRf+kFsqRhGm10tInGcESUVr6ZBR/t59E3/pp6FhJNQAK4wddMqQ6ggD09jC7r0BFHIfW1wkKg69j8O0B1VA==,6/14/2025 4:26,BUILDING 3,2255 NORTH GEMINI DRIVE,Arizona,0,USGS,RPUIDAZ5208ZZ.C1000000001909,0,0,0,0,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14048,+35.2164060,-111.6326790
b2ad6042-bf22-f011-9989-001dd80292e8,pV0xGZHBlBIbT02DvqhNi3ymzFVddpWSvIBZED+i7D0TpIck3VIKq6IUHBObnJl5oKjyXGjLbWJaCgSETdEb0A==,6/13/2025 17:45,1711 ILLINOIS ST,# 1711 ILLINOIS ST,Colorado,0,USGS,RPUIDCO1628ZZ.C1000000001636,0,0,38,38,U.S. Geological Survey,2,0,,Ethan Rutledge,0,14051,+39.7454890,-105.2169320
b6ad6042-bf22-f011-9989-001dd80292e8,UZB+CKQiozaNccWugZpNwt3Di2iRxS8lsPlYZ+g90Wkt0p2p01n/l6qq/SJUWQovzYySSkCCu+osLlgyUIhi7Q==,6/13/2025 23:53,EL PASO TX WSC - GATEWAY BUSINESS CENTER,10737-767 GATEWAY WEST,Texas,0,USGS,RPUIDG1000069420000000.C1000000000787,0,0,0,0,U.S. Geological Survey,2,0,,Ethan Rutledge,0,14076,+31.7506880,-106.3407760
b7ad6042-bf22-f011-9989-001dd80292e8,X71ZEDxN+8ZsiGgLQgJANlMydlFcRmsKMfOtsI1UxZuglqUxpPkKcwoJCi29xaMcz0QbijlRxThOJAvmsXikbw==,6/13/2025 9:56,SACRED HEART CATHED.,1027 VIRGINIA STREET,West Virginia,0,USGS,RPUIDWV0192ZZ.C1000000001851,4,0,1,1,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14075,+38.3472760,-081.6335860
b8ad6042-bf22-f011-9989-001dd80292e8,axKXtnooktvlxqOmil2pdhWSqw1vhY23qf0eE0Y7QRAf5kLne59vDwMKZxIf1RR5ld4o8eI94p7Mqg7ZkMq9Ng==,6/14/2025 2:45,USGS WSC SAN ANGELO,3745 S. JACKSON STREET,Texas,0,USGS,RPUIDG1000070420000000.C1000000000334,11,0,2,2,U.S. Geological Survey,0,0,,Ethan Rutledge,0,14081,+31.4275650,-100.4236380
b9ad6042-bf22-f011-9989-001dd80292e8,mS2YSuF4G/7VsKYluSwC1nDIB0HdFJIInd0pkj/UK/hZrgpoFDuwogunI6Bid/2vc3LFTTDw6bYoPzV6t8d76w==,6/14/2025 2:57,GREENGATE ROAD WRHSE,11 WOODS HOLE ROAD,Massachusetts,0,USGS,RPUIDMA5645ZZ.C1000000001678,4,4,,0,U.S. Geological Survey,5,0,,Ethan Rutledge,0,14074,+41.5515410,-070.6273070
baad6042-bf22-f011-9989-001dd80292e8,00iqPAe+vktB44qZNquuQ+dcmImmP7yltrRt28WsuhYglGSq8/DOzsE7kItlbX7XUYrcmMvnHuQeV299N07vew==,6/14/2025 5:04,CARIBBEAN FLORIDA WATER SCIENCE CENTER BAYAMON,"# B STREET, LOT 38",Puerto Rico,0,USGS,RPUIDG1000526420000000.C1000000001865,0,10,4,4,U.S. Geological Survey,3,0,,Ethan Rutledge,0,14092,+18.0069500,-066.5770800
bcad6042-bf22-f011-9989-001dd80292e8,fKNeE9V/gBSvw55VQPL9CIbzcOF9x6yjCnDjYcw8uc2mVqEf2lvuoA6oLA+RSOPmLB+IX/DOvItcwnpFVg6AoQ==,6/13/2025 13:32,"SOUTHEASTERN STATES DISTRICT OFFICE (SSDO), FLOWOOD, MS",271 MARKET ST,Mississippi,1,BLM,RPUIDAMS02397.C1000000001537,,2,3,2,Bureau of Land Management,0,1,,Ethan Rutledge,0,14129,+32.3358660,-090.0671230
bdad6042-bf22-f011-9989-001dd80292e8,SqBONrySvupyXz4Px3wuN5p+rmkPlVKqIzUS0sLj5NyPVs39YSLgHOZ1yZ5EaFvOgxbxyoq7Ez1mNoddcqC9VA==,6/14/2025 1:10,"REDDING, CA (Office)",6640 LOCKHEED DR,California,2,BLM,RPUIDACA11213.C1000000001490,0,0,2,0,Bureau of Land Management,0,2,,Ethan Rutledge,0,14130,+40.5092230,-122.3032910
bead6042-bf22-f011-9989-001dd80292e8,j8z94AMSOPBfPEFFB6jADLPbIVfV+W5rQulg4y76C/f4u8qmJv+9TkzCv6A/deNVPPImMJ61dqEAvJnNi75M5g==,7/16/2025 18:58,CALIFORNIA STATE OFFICE,2800 COTTAGE WAY,California,7,BLM,RPUIDCA0055456.C1000000000273,0,12,18,11,Bureau of Land Management,0,7,,Ethan Rutledge,0,14131,+38.6033810,-121.3970030
bfad6042-bf22-f011-9989-001dd80292e8,y6QBhEpM4gO289gEbZRcRIUv3LVY0fnbdvSflqNywuUPZSTWz1pGFWxCgvDFusmnr6qmVXo+3eyUBooc6rBfOA==,6/13/2025 3:11,"GREAT FALLS, MT",1220 38TH ST NORTH,Montana,0,BLM,RPUIDAMT02846.C1000000001486,0,0,0,0,Bureau of Land Management,0,0,,Ethan Rutledge,0,14128,+47.5203030,-111.2421470
c0ad6042-bf22-f011-9989-001dd80292e8,JiEkxU1qHGh/LekgM6wgXmv9pqB/V6q7u6bGGgOOF8bjkNX6IdE1xSp18xCpjk3K/Uk8xG0ca7770TJspnaJ8A==,6/13/2025 18:10,"REDDING, CA (Office)",6640 LOCKHEED DR,California,0,BLM,RPUIDACA11213.C1000000001491,0,0,0,0,Bureau of Land Management,0,0,,Ethan Rutledge,0,14148,+40.5092230,-122.3032910
